entity_id,Entity_Name,Year_Title,liquidity_group,W1_Forecast,W2_Forecast,W3_Forecast,W4_Forecast,week_start,W1_Available,W2_Available,W3_Available,W4_Available,LP_Available_Count,LP_Volatility,LP_Trend,LP_Avg_Magnitude
11G5,RECYCO,2023/CW51,TRP,-2245122.0,-2832369.0,-214368.0,-427920.0,2023-12-18,True,True,True,True,4,1305499.6694316892,605734.0,-1429944.75
11G5,RECYCO,2023/CW52,TRP,-2832369.0,-214368.0,-427920.0,-427920.0,2023-12-25,True,True,True,True,4,1241903.382467513,801483.0,-975644.25
11G5,RECYCO,2024/CW01,TRP,-214368.0,-427920.0,-427920.0,-427920.0,2024-01-01,True,True,True,True,4,106776.0,-71184.0,-374532.0
11G5,RECYCO,2024/CW02,TRP,-505817.0,-3942065.0,-146740.0,-222481.0,2024-01-08,True,True,True,True,4,1831723.9053709987,94445.33333333333,-1204275.75
11G5,RECYCO,2024/CW03,TRP,-3143940.0,-93518.0,-1964027.0,-133424.0,2024-01-15,True,True,True,True,4,1489182.6450393014,1003505.3333333334,-1333727.25
11G5,RECYCO,2024/CW04,TRP,-120653.0,-2107359.0,-140598.0,-2033695.0,2024-01-22,True,True,True,True,4,1120435.9157135747,-637680.6666666666,-1100576.25
11G5,RECYCO,2024/CW05,TRP,-2034661.0,-273678.0,-2204799.0,-91235.0,2024-01-29,True,True,True,True,4,1123112.462081566,647808.6666666666,-1151093.25
11G5,RECYCO,2024/CW06,TRP,-208906.0,-2328522.0,-87875.0,-1086399.0,2024-02-05,True,True,True,True,4,1034320.7577834192,-292497.6666666667,-927925.5
11G5,RECYCO,2024/CW07,TRP,-2128995.0,-282866.0,-1783494.0,-82505.0,2024-02-12,True,True,True,True,4,1036865.3500080584,682163.3333333334,-1069465.0
11G5,RECYCO,2024/CW08,TRP,-433449.0,-1925232.0,-97808.0,-2184255.0,2024-02-19,True,True,True,True,4,1047346.8672364472,-583602.0,-1160186.0
11G5,RECYCO,2024/CW09,TRP,-1968404.0,-228446.0,-2441337.0,-158729.0,2024-02-26,True,True,True,True,4,1177500.5091829048,603225.0,-1199229.0
11G5,RECYCO,2024/CW10,TRP,-1968404.0,-228446.0,-2441337.0,-158729.0,2024-03-04,True,True,True,True,4,1177500.5091829048,603225.0,-1199229.0
